case_id,family,refinement_level_id,n_electrodes,conductivity_pattern,contact_impedance_exact,drive_label,solver,formulation,truth_relative_l2,truth_max_abs,exact_reduced_scaled_backward_residual,voltage_gauge_relative_residual,reduced_condition_number_2_estimate,classic_robin_relative_l2
X03,range,Q0,16,uniform,1,adjacent,EIDORS,robin_transconductance,5.726099002156216e-16,7.17758797116484e-15,3.3654600260392273e-17,1.2832717740897312e-16,17.276402760088622,3.1198737832780894e-16
X04,range,Q0,16,uniform,1,skip-4,PyEIDORS/DOLFINx,classic,2.880124387417718e-16,3.682284415824088e-15,1.8260318947362063e-17,9.305751664145183e-17,17.276402760088622,3.295698859859386e-16
X04,range,Q0,16,uniform,1,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.818054748200553e-16,3.1840574591096407e-15,2.130748515288067e-17,1.781255740508964e-16,17.276402760088622,3.295698859859386e-16
X04,range,Q0,16,uniform,1,skip-4,NGSolve,classic,3.0598459709230065e-15,1.9908581453093615e-14,2.4489004069171467e-16,7.647077448975588e-17,17.276402760088622,3.0218822624306577e-16
X04,range,Q0,16,uniform,1,skip-4,NGSolve,robin_transconductance,3.003246044466745e-15,2.1684938292493865e-14,2.480632366846394e-16,1.9407889551857304e-16,17.276402760088622,3.0218822624306577e-16
X04,range,Q0,16,uniform,1,skip-4,EIDORS,classic,5.095950238075192e-16,3.921369898491361e-15,3.8273731249130173e-17,7.818421423951166e-17,17.276402760088622,3.0537613645843243e-16
X04,range,Q0,16,uniform,1,skip-4,EIDORS,robin_transconductance,6.151560517905584e-16,8.362261996991988e-15,3.558035631957162e-17,1.8896142258243637e-16,17.276402760088622,3.0537613645843243e-16
X05,range,Q0,16,uniform,1/32,adjacent,PyEIDORS/DOLFINx,classic,1.842586975142602e-15,3.989743281270237e-15,3.0405176044777974e-17,1.4906842246133774e-16,155.73495951658816,2.571884982582092e-15
X05,range,Q0,16,uniform,1/32,adjacent,PyEIDORS/DOLFINx,robin_transconductance,1.8277565658395e-15,3.416190019792805e-15,3.9855834635194485e-17,1.6413497800917906e-16,155.73495951658816,2.571884982582092e-15
X05,range,Q0,16,uniform,1/32,adjacent,NGSolve,classic,9.40813869194171e-14,6.613245028949443e-14,1.176434930314006e-15,1.537553129310461e-16,155.73495951658816,3.578819813228575e-15
X05,range,Q0,16,uniform,1/32,adjacent,NGSolve,robin_transconductance,9.566425176745327e-14,6.801982943135719e-14,1.1925573038301373e-15,2.2268818605154444e-16,155.73495951658816,3.578819813228575e-15
X05,range,Q0,16,uniform,1/32,adjacent,EIDORS,classic,2.8271842049711103e-15,3.279907893449314e-15,5.336375825445178e-17,3.4437162726161034e-16,155.73495951658816,3.1424943078257734e-15
X05,range,Q0,16,uniform,1/32,adjacent,EIDORS,robin_transconductance,2.8768056062398025e-15,6.353772596908573e-15,4.5072120966563113e-17,2.4010921323476966e-16,155.73495951658816,3.1424943078257734e-15
X06,range,Q0,16,uniform,1/32,skip-4,PyEIDORS/DOLFINx,classic,1.8597138389846426e-15,7.173618641805047e-15,3.7108799050051425e-17,1.297929812108474e-16,155.73495951658816,2.408925460627509e-15
X06,range,Q0,16,uniform,1/32,skip-4,PyEIDORS/DOLFINx,robin_transconductance,1.5339954616033682e-15,6.780852027411245e-15,4.2350601741851024e-17,1.867826211694151e-16,155.73495951658816,2.408925460627509e-15
X06,range,Q0,16,uniform,1/32,skip-4,NGSolve,classic,1.21868366861838e-13,2.2211279620923535e-13,1.2190327900134926e-15,1.46465036231761e-16,155.73495951658816,3.77993155236481e-15
X06,range,Q0,16,uniform,1/32,skip-4,NGSolve,robin_transconductance,1.23928518912349e-13,2.274418667274361e-13,1.2357632840646502e-15,1.9391720277896988e-16,155.73495951658816,3.77993155236481e-15
X06,range,Q0,16,uniform,1/32,skip-4,EIDORS,classic,3.0975840478555603e-15,1.1614510740305673e-14,4.452895095025122e-17,2.900175531986628e-16,155.73495951658816,2.5086367059766665e-15
X06,range,Q0,16,uniform,1/32,skip-4,EIDORS,robin_transconductance,2.7463942897402936e-15,1.2183113723902365e-14,4.9614523581686677e-17,1.1234266562921131e-16,155.73495951658816,2.5086367059766665e-15
X07,range,Q0,16,uniform,32,adjacent,PyEIDORS/DOLFINx,classic,1.5486259196127049e-16,6.238884132571056e-14,1.0873111344448531e-17,6.011450924080408e-17,16.64173432250919,2.6999848586026606e-16
X07,range,Q0,16,uniform,32,adjacent,PyEIDORS/DOLFINx,robin_transconductance,2.4242992846596594e-16,9.124775097963288e-14,2.0065260137282362e-17,1.7190869254339606e-16,16.64173432250919,2.6999848586026606e-16
X07,range,Q0,16,uniform,32,adjacent,NGSolve,classic,3.023867869946215e-15,6.192949847804673e-13,2.4921050155804355e-16,3.184560952395887e-17,16.64173432250919,2.7747090786896813e-16
X07,range,Q0,16,uniform,32,adjacent,NGSolve,robin_transconductance,2.9054284199547563e-15,6.761384036412753e-13,2.47405744880747e-16,1.3076648247073222e-16,16.64173432250919,2.7747090786896813e-16
X07,range,Q0,16,uniform,32,adjacent,EIDORS,classic,3.841750668346235e-16,8.342162040069268e-14,3.0910528440607727e-17,3.5636428801336085e-17,16.64173432250919,2.890503357357756e-16
X07,range,Q0,16,uniform,32,adjacent,EIDORS,robin_transconductance,3.9071401935488622e-16,1.402650392615007e-13,3.6646521906474625e-17,1.4556599291752255e-16,16.64173432250919,2.890503357357756e-16
X08,range,Q0,16,uniform,32,skip-4,PyEIDORS/DOLFINx,classic,2.410366971877902e-16,1.3575306875280012e-13,1.7505787081192328e-17,6.902886527915715e-17,16.64173432250919,3.0967978603440735e-16
X08,range,Q0,16,uniform,32,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.229473606195739e-16,9.214219820670986e-14,1.7809272775581995e-17,2.1411674358494677e-16,16.64173432250919,3.0967978603440735e-16
X08,range,Q0,16,uniform,32,skip-4,NGSolve,classic,3.015140450941759e-15,6.184005375533903e-13,2.4145509209563703e-16,7.832497296898179e-17,16.64173432250919,3.047767525634998e-16
X08,range,Q0,16,uniform,32,skip-4,NGSolve,robin_transconductance,2.874193380629276e-15,6.032113764377041e-13,2.4153418842318044e-16,2.0234119606584028e-16,16.64173432250919,3.047767525634998e-16
