case_id,solver,formulation,cold_median_seconds,setup_median_seconds,warm_reuse_median_seconds,cold_over_warm_reuse_speedup
X01,PyEIDORS/DOLFINx,classic,0.000672038500852068,0.0006427082516893279,1.6726189642213285e-05,40.17881628915579
X01,PyEIDORS/DOLFINx,robin_transconductance,0.00018984987036674283,0.00016539312855456956,1.297381277254317e-05,14.633313559798491
X01,NGSolve,classic,0.0010730881222116295,0.0010303913768439088,3.1226312785292976e-05,34.36486816711304
X01,NGSolve,robin_transconductance,0.005603830435575219,0.0004557141874101944,0.0002940282520285109,19.058816276715596
X01,EIDORS,classic,0.0003935125,0.00024784375,4.080000000000001e-05,9.644914215686272
X01,EIDORS,robin_transconductance,0.00051726875,0.0004942812499999999,7.168750000000001e-06,72.15605928509154
X02,PyEIDORS/DOLFINx,classic,0.0006547704961121781,0.0006284470000537112,1.6844373021740466e-05,38.87176419490876
X02,PyEIDORS/DOLFINx,robin_transconductance,0.00021113275033712853,0.0001541482470202027,1.3192067854106426e-05,16.004522768688393
X02,NGSolve,classic,0.0009874475636024727,0.0009418370027560741,3.1708821552456357e-05,31.14109939307975
X02,NGSolve,robin_transconductance,0.0012183591279608663,0.00022781093866797164,1.779156445991248e-05,68.47959496232293
X02,EIDORS,classic,0.00038366249999999995,0.00024986250000000006,3.4543749999999996e-05,11.106567758277546
X02,EIDORS,robin_transconductance,0.0005303875000000001,0.00050739375,6.6687499999999995e-06,79.5332708528585
X03,PyEIDORS/DOLFINx,classic,0.0006096654433349613,0.0005821106242365204,2.3755252186674625e-05,25.664448373103347
X03,PyEIDORS/DOLFINx,robin_transconductance,0.00018653512961464003,0.00015042062477732543,1.7804244635044597e-05,10.477003289849078
X03,NGSolve,classic,0.0011008914334524889,0.0010166325610043714,3.1395999030792154e-05,35.06470465783781
X03,NGSolve,robin_transconductance,0.001958646440471057,0.0002795919353957288,0.0012955321253684815,1.5118470643203612
X03,EIDORS,classic,0.00032935,0.0002141875,3.818125e-05,8.62596169585857
X03,EIDORS,robin_transconductance,0.00042225625,0.00040369375,6.81875e-06,61.92575618698442
X04,PyEIDORS/DOLFINx,classic,0.0007568971905129729,0.000728877006622497,1.7851429220172577e-05,42.39980906725717
X04,PyEIDORS/DOLFINx,robin_transconductance,0.00018858949988498352,0.00015367837477242574,1.9529870769474655e-05,9.656464300816083
X04,NGSolve,classic,0.001106411125874729,0.0010622329373290995,3.2964682759484276e-05,33.563530216483066
X04,NGSolve,robin_transconductance,0.002175662813897361,0.00029267725221870933,6.911130913067609e-05,31.480561448830382
X04,EIDORS,classic,0.00035794375000000004,0.00023366250000000002,3.3950000000000005e-05,10.543262150220913
X04,EIDORS,robin_transconductance,0.0004504375,0.00043248750000000007,6.96875e-06,64.63677130044843
X05,PyEIDORS/DOLFINx,classic,0.0006426698728319025,0.0006140801269793883,2.3619561034138314e-05,27.20922170835544
X05,PyEIDORS/DOLFINx,robin_transconductance,0.00017950744222616777,0.00015221144167298917,2.2145752154756337e-05,8.105727950523198
X05,NGSolve,classic,0.0008695883116160985,0.0008292591301142238,2.8837434001616202e-05,30.154843581691846
X05,NGSolve,robin_transconductance,0.0009071466865862021,0.00016380568740714807,4.43545650341548e-05,20.45216058116369
X05,EIDORS,classic,0.00033407500000000003,0.00022068124999999997,3.054375e-05,10.937589523224883
X05,EIDORS,robin_transconductance,0.00039178125,0.00037209375,5.6312500000000005e-06,69.57269700332962
X06,PyEIDORS/DOLFINx,classic,0.0006510153762064874,0.0006220363047759747,2.3229556973092258e-05,28.025303149801136
X06,PyEIDORS/DOLFINx,robin_transconductance,0.0001930948728841031,0.0001517489981779363,1.8318491129321046e-05,10.540981324331375
X06,NGSolve,classic,0.0009033315036504064,0.0008634424975753063,2.8959871997358277e-05,31.19252404612867
X06,NGSolve,robin_transconductance,0.0008944819401222048,0.00017160037532448769,6.942037180124316e-05,12.885006474514253
X06,EIDORS,classic,0.00036855625,0.00024756874999999997,4.141875e-05,8.898294854383582
X06,EIDORS,robin_transconductance,0.00043201875,0.00041390625,6.8812499999999995e-06,62.782016348773844
X07,PyEIDORS/DOLFINx,classic,0.0006593666894332273,0.0006287584947131108,1.9234812498325482e-05,34.27986051283991
X07,PyEIDORS/DOLFINx,robin_transconductance,0.00016768912428233307,0.00014277112859417684,1.6809684893814847e-05,9.975744658011678
X07,NGSolve,classic,0.0010722044971771538,0.0010220735675829928,3.2080753953778185e-05,33.42204795816151
X07,NGSolve,robin_transconductance,0.0011467885615275009,0.0002862490546249319,5.3402060075313784e-05,21.474612775427886
X07,EIDORS,classic,0.00040763124999999996,0.000252925,3.3475e-05,12.177184466019416
X07,EIDORS,robin_transconductance,0.00046934375000000003,0.0004414625,6.662499999999999e-06,70.4455909943715
X08,PyEIDORS/DOLFINx,classic,0.0006481381242338102,0.0006217258123797365,1.7407122868462466e-05,37.2340753340738
X08,PyEIDORS/DOLFINx,robin_transconductance,0.00015833274846954737,0.00013657612544193398,1.3915192539570853e-05,11.37840874420487
X08,NGSolve,classic,0.0008997429395094514,0.0008586303119955119,3.1869187296251766e-05,28.232377912419278
X08,NGSolve,robin_transconductance,0.00040694187373446766,0.00021185837249504402,0.0002947541197499959,1.380614710592093
X08,EIDORS,classic,0.00029800625,0.00019786874999999998,2.785e-05,10.7004039497307
X08,EIDORS,robin_transconductance,0.00036619375,0.00035093124999999994,4.943750000000001e-06,74.07206068268015
X09,PyEIDORS/DOLFINx,classic,0.0008688023772265296,0.0008177813142538071,3.812669274338987e-05,22.787247324963857
X09,PyEIDORS/DOLFINx,robin_transconductance,0.0003877319995808648,0.0003407184976822464,1.6783751561888494e-05,23.1016288671302
X09,NGSolve,classic,0.0012751730628224323,0.0011903911290573888,6.73809990985319e-05,18.924816786372283
X09,NGSolve,robin_transconductance,0.001171406942376052,0.0004587615021591773,4.4212622015038505e-05,26.494853482736424
X09,EIDORS,classic,0.00047569375000000005,0.0003371875,5.824375e-05,8.167292627964374
X09,EIDORS,robin_transconductance,0.000518625,0.00050025625,8.925e-06,58.10924369747899
X10,PyEIDORS/DOLFINx,classic,0.0009101550658670021,0.0008565613788960036,3.5133938581566326e-05,25.905295637550065
X10,PyEIDORS/DOLFINx,robin_transconductance,0.0003847470616165083,0.0003436139377299696,1.732718556013424e-05,22.204821451310615
X10,NGSolve,classic,0.0015668026899220422,0.001477422942116391,6.844168638053816e-05,22.892520228250437
X10,NGSolve,robin_transconductance,0.00104165625089081,0.0004902826240140712,4.5791184675181285e-05,22.747964663499637
X10,EIDORS,classic,0.0004925812499999999,0.0003621,4.301875e-05,11.450385006537847
X10,EIDORS,robin_transconductance,0.0005208375,0.0005027375,5.9875e-06,86.98747390396659
X11,PyEIDORS/DOLFINx,classic,0.0009511269363429165,0.0008949400016717846,3.455481601122301e-05,27.525162803182088
X11,PyEIDORS/DOLFINx,robin_transconductance,0.0003500096881907666,0.0003198490012437105,1.4629500583396293e-05,23.92492390259781
X11,NGSolve,classic,0.0015415046818816336,0.0014446671248151688,6.89458756824024e-05,22.358185556777023
X11,NGSolve,robin_transconductance,0.0030256679965532385,0.0006434575661842246,2.3706244974164292e-05,127.6316852310728
X11,EIDORS,classic,0.00053875,0.0004243687500000001,5.310624999999999e-05,10.144756973049311
X11,EIDORS,robin_transconductance,0.00058008125,0.00055115625,7.71875e-06,75.15222672064777
X12,PyEIDORS/DOLFINx,classic,0.0009324655002274085,0.0008764770573179703,3.583581201382913e-05,26.0204931275889
X12,PyEIDORS/DOLFINx,robin_transconductance,0.0003585545036912663,0.00032395237758464646,1.618805981706828e-05,22.14931917370453
X12,NGSolve,classic,0.0011466636296972865,0.0010511637483432423,6.622168257308658e-05,17.31553148671137
X12,NGSolve,robin_transconductance,0.00040926612564362586,0.0003434779391682241,1.7535250663058832e-05,23.33962219917499
X12,EIDORS,classic,0.000482875,0.00033813125,6.280625e-05,7.688327196735994
X12,EIDORS,robin_transconductance,0.00051523125,0.00049604375,8.431249999999998e-06,61.10971089696072
X13,PyEIDORS/DOLFINx,classic,0.0008852468799886992,0.0008352162494702497,3.5849816413247027e-05,24.693205392861863
X13,PyEIDORS/DOLFINx,robin_transconductance,0.0003642324954853393,0.00032842168911884073,1.4547127648256719e-05,25.038104036227917
X13,NGSolve,classic,0.0010966072532028193,0.001009449499179027,7.464618465746753e-05,14.690734137784439
X13,NGSolve,robin_transconductance,0.0004904751858703094,0.00035055712032772135,3.342368654557504e-05,14.674478986676691
X13,EIDORS,classic,0.0004395,0.0003211125,3.576875e-05,12.287261925563516
X13,EIDORS,robin_transconductance,0.0005195375,0.0005007062499999999,5.70625e-06,91.04709748083242
X14,PyEIDORS/DOLFINx,classic,0.0008905277481972007,0.0008385892488149693,5.066794255981222e-05,17.575762961875853
X14,PyEIDORS/DOLFINx,robin_transconductance,0.0003634205677371938,0.0003300303105788771,1.97644330910407e-05,18.387603938001835
X14,NGSolve,classic,0.0010919646883849055,0.0010078757513838354,6.682605817331932e-05,16.34040250515447
X14,NGSolve,robin_transconductance,0.00042579537694109604,0.0003552360649337061,1.8818502212525345e-05,22.626422237668432
X14,EIDORS,classic,0.0005888875,0.00041105624999999995,4.7275000000000004e-05,12.456636700158645
X14,EIDORS,robin_transconductance,0.00054496875,0.0005248375000000001,6.868750000000001e-06,79.3403093721565
X15,PyEIDORS/DOLFINx,classic,0.0008971696261141915,0.0008462244331894908,5.0920871217385866e-05,17.61889780487243
X15,PyEIDORS/DOLFINx,robin_transconductance,0.00037746350426459685,0.00033492343573016115,1.964319199032616e-05,19.215996282604646
X15,NGSolve,classic,0.0013095486283418722,0.0011720613729266915,6.72536243655486e-05,19.47179264605853
X15,NGSolve,robin_transconductance,0.0005846355579706142,0.0003767251855606446,2.143100391549524e-05,27.279895999081297
